year,energy,flux,label,order
1996,0.0008748151535059922,2202474690.864083,"Fit of year 1996, order 1",1.0
1996,0.0008849485052216768,2144938769.8059704,"Fit of year 1996, order 1",1.0
1996,0.0008951992358105816,2088905877.2392719,"Fit of year 1996, order 1",1.0
1996,0.0009055687049215422,2034336749.0902834,"Fit of year 1996, order 1",1.0
1996,0.0009160582879527818,1981193146.9927013,"Fit of year 1996, order 1",1.0
1996,0.000926669376234336,1929437831.4927876,"Fit of year 1996, order 1",1.0
1996,0.0009374033772126044,1879034535.9544542,"Fit of year 1996, order 1",1.0
1996,0.0009482617146370267,1829947941.146081,"Fit of year 1996, order 1",1.0
1996,0.0009592458287489345,1782143650.4911244,"Fit of year 1996, order 1",1.0
1996,0.0009703571764725764,1735588165.9653766,"Fit of year 1996, order 1",1.0
